round,loss,dice_WT,dice_TC,dice_ET
1,1.085846483707428,0.023341932334005833,0.0028890407411381602,0.002683836966753006
2,0.9699764549732208,,,
3,0.8802938759326935,0.08730483055114746,0.029602212831377983,0.026937740854918957
4,0.8408085405826569,,,
5,0.7801778614521027,0.09386280179023743,0.048662859946489334,0.04482492431998253
6,0.7210978865623474,,,
7,0.6888871192932129,0.09531330317258835,0.05835443176329136,0.05484670028090477
8,0.6331192255020142,,,
9,0.6007023751735687,0.10050980746746063,0.07190000638365746,0.06618607975542545
10,0.547489196062088,,,
11,0.5115157514810562,0.10321195423603058,0.08015824109315872,0.07489994913339615
12,0.4861277639865875,,,
13,0.44165028631687164,0.11038759350776672,0.10321291163563728,0.09670982882380486
14,0.41364921629428864,,,
15,0.36637967824935913,0.12136314064264297,0.10694561898708344,0.09965362027287483
16,0.35769806802272797,,,
17,0.3232037425041199,0.11316479369997978,0.13274122774600983,0.12374584004282951
18,0.31339454650878906,,,
19,0.2767471671104431,0.12010031938552856,0.1381346806883812,0.12886030972003937
20,0.2612956762313843,,,
